"","window_number","count","start","end","midpoint"
"1","2",87,250,500,375
"2","3",75,500,750,625
"3","4",103,750,1000,875
"4","5",91,1000,1250,1125
"5","6",118,1250,1500,1375
"6","7",159,1500,1750,1625
"7","8",173,1750,2000,1875
"8","9",108,2000,2250,2125
"9","10",146,2250,2500,2375
"10","11",178,2500,2750,2625
"11","12",136,2750,3000,2875
"12","13",202,3000,3250,3125
"13","14",196,3250,3500,3375
"14","15",197,3500,3750,3625
"15","16",192,3750,4000,3875
"16","17",119,4000,4250,4125
"17","18",140,4250,4500,4375
"18","19",126,4500,4750,4625
"19","20",172,4750,5000,4875
"20","21",202,5000,5250,5125
"21","22",85,5250,5500,5375
"22","23",44,5500,5750,5625
"23","24",32,5750,6000,5875
"24","25",115,6000,6250,6125
"25","26",229,6250,6500,6375
"26","27",224,6500,6750,6625
"27","28",134,6750,7000,6875
"28","29",185,7000,7250,7125
"29","30",172,7250,7500,7375
"30","31",176,7500,7750,7625
"31","32",193,7750,8000,7875
"32","33",232,8000,8250,8125
"33","34",174,8250,8500,8375
"34","35",164,8500,8750,8625
"35","36",140,8750,9000,8875
"36","37",148,9000,9250,9125
"37","38",133,9250,9500,9375
"38","39",161,9500,9750,9625
"39","40",143,9750,10000,9875
"40","41",62,10000,10250,10125
"41","42",68,10250,10500,10375
"42","43",112,10500,10750,10625
"43","44",120,10750,11000,10875
"44","45",184,11000,11250,11125
"45","46",176,11250,11500,11375
"46","47",153,11500,11750,11625
"47","48",182,11750,12000,11875
"48","49",210,12000,12250,12125
"49","50",184,12250,12500,12375
"50","51",170,12500,12750,12625
"51","52",186,12750,13000,12875
"52","53",192,13000,13250,13125
"53","54",145,13250,13500,13375
"54","55",158,13500,13750,13625
"55","56",143,13750,14000,13875
"56","57",134,14000,14250,14125
"57","58",106,14250,14500,14375
"58","59",155,14500,14750,14625
"59","60",166,14750,15000,14875
"60","61",206,15000,15250,15125
"61","62",173,15250,15500,15375
"62","63",172,15500,15750,15625
"63","64",181,15750,16000,15875
"64","65",152,16000,16250,16125
"65","66",169,16250,16500,16375
"66","67",126,16500,16750,16625
"67","68",54,16750,17000,16875
"68","69",128,17000,17250,17125
"69","70",149,17250,17500,17375
"70","71",138,17500,17750,17625
"71","72",148,17750,18000,17875
"72","73",158,18000,18250,18125
"73","74",184,18250,18500,18375
"74","75",144,18500,18750,18625
"75","76",47,18750,19000,18875
"76","77",103,19000,19250,19125
"77","78",149,19250,19500,19375
"78","79",75,19500,19750,19625
"79","80",87,19750,20000,19875
"80","81",157,20000,20250,20125
"81","82",178,20250,20500,20375
"82","83",172,20500,20750,20625
"83","84",193,20750,21000,20875
"84","85",199,21000,21250,21125
"85","86",159,21250,21500,21375
"86","87",157,21500,21750,21625
"87","88",58,21750,22000,21875
"88","89",117,22000,22250,22125
"89","90",132,22250,22500,22375
"90","91",150,22500,22750,22625
"91","92",63,22750,23000,22875
"92","93",143,23000,23250,23125
"93","94",161,23250,23500,23375
"94","95",119,23500,23750,23625
"95","96",148,23750,24000,23875
"96","97",150,24000,24250,24125
"97","98",138,24250,24500,24375
"98","99",121,24500,24750,24625
"99","100",111,24750,25000,24875
"100","101",131,25000,25250,25125
"101","102",141,25250,25500,25375
"102","103",173,25500,25750,25625
"103","104",199,25750,26000,25875
"104","105",195,26000,26250,26125
"105","106",160,26250,26500,26375
"106","107",141,26500,26750,26625
"107","108",200,26750,27000,26875
"108","109",201,27000,27250,27125
"109","110",100,27250,27500,27375
"110","111",81,27500,27750,27625
"111","112",114,27750,28000,27875
"112","113",161,28000,28250,28125
"113","114",181,28250,28500,28375
"114","115",192,28500,28750,28625
"115","116",203,28750,29000,28875
"116","117",155,29000,29250,29125
"117","118",106,29250,29500,29375
"118","119",144,29500,29750,29625
"119","120",74,29750,30000,29875
"120","121",63,30000,30250,30125
"121","122",110,30250,30500,30375
"122","123",133,30500,30750,30625
"123","124",68,30750,31000,30875
"124","125",114,31000,31250,31125
"125","126",102,31250,31500,31375
"126","127",81,31500,31750,31625
"127","128",84,31750,32000,31875
"128","129",137,32000,32250,32125
"129","130",152,32250,32500,32375
"130","131",139,32500,32750,32625
"131","132",164,32750,33000,32875
"132","133",156,33000,33250,33125
"133","134",171,33250,33500,33375
"134","135",174,33500,33750,33625
"135","136",106,33750,34000,33875
"136","137",117,34000,34250,34125
"137","138",116,34250,34500,34375
"138","139",143,34500,34750,34625
"139","140",152,34750,35000,34875
"140","141",142,35000,35250,35125
"141","142",115,35250,35500,35375
"142","143",84,35500,35750,35625
"143","144",120,35750,36000,35875
"144","145",89,36000,36250,36125
"145","146",43,36250,36500,36375
"146","147",46,36500,36750,36625
"147","148",94,36750,37000,36875
"148","149",104,37000,37250,37125
"149","150",139,37250,37500,37375
"150","151",138,37500,37750,37625
"151","152",91,37750,38000,37875
"152","153",96,38000,38250,38125
"153","154",35,38250,38500,38375
"154","155",52,38500,38750,38625
"155","156",12,38750,39000,38875
"156","157",1,39000,39250,39125
"157","158",29,39250,39500,39375
"158","159",50,39500,39750,39625
"159","160",124,39750,40000,39875
"160","161",235,40000,40250,40125
"161","162",225,40250,40500,40375
"162","163",140,40500,40750,40625
